caso,letra,pixel,input,output
exp2_n20,R,4,-1,-1
exp2_n20,R,5,1,1
exp2_n20,R,6,-1,-1
exp2_n20,R,7,-1,-1
exp2_n20,R,8,-1,-1
exp2_n20,R,9,-1,1
exp2_n20,R,10,1,1
exp2_n20,R,11,1,1
exp2_n20,R,12,1,1
exp2_n20,R,13,1,1
exp2_n20,R,14,-1,-1
exp2_n20,R,15,1,1
exp2_n20,R,16,-1,-1
exp2_n20,R,17,-1,-1
exp2_n20,R,18,1,1
exp2_n20,R,19,1,-1
exp2_n20,R,20,1,1
exp2_n20,R,21,-1,-1
exp2_n20,R,22,-1,-1
exp2_n20,R,23,1,-1
exp2_n20,R,24,1,1
exp2_n65,R,0,-1,-1
exp2_n65,R,1,-1,1
exp2_n65,R,2,1,1
exp2_n65,R,3,-1,1
exp2_n65,R,4,-1,1
exp2_n65,R,5,1,-1
exp2_n65,R,6,1,1
exp2_n65,R,7,1,1
exp2_n65,R,8,-1,1
exp2_n65,R,9,-1,1
exp2_n65,R,10,-1,-1
exp2_n65,R,11,1,1
exp2_n65,R,12,-1,1
exp2_n65,R,13,1,1
exp2_n65,R,14,1,1
exp2_n65,R,15,-1,-1
exp2_n65,R,16,1,1
exp2_n65,R,17,1,1
exp2_n65,R,18,1,1
exp2_n65,R,19,1,1
exp2_n65,R,20,-1,-1
exp2_n65,R,21,-1,-1
exp2_n65,R,22,1,-1
exp2_n65,R,23,1,-1
exp2_n65,R,24,-1,-1
exp2_n10,X,0,1,1
exp2_n10,X,1,-1,-1
exp2_n10,X,2,-1,-1
exp2_n10,X,3,1,-1
exp2_n10,X,4,1,1
exp2_n10,X,5,-1,-1
exp2_n10,X,6,1,1
exp2_n10,X,7,-1,-1
exp2_n10,X,8,1,1
exp2_n10,X,9,-1,-1
exp2_n10,X,10,-1,-1
exp2_n10,X,11,-1,-1
exp2_n10,X,12,1,1
exp2_n10,X,13,-1,-1
exp2_n10,X,14,1,-1
exp2_n10,X,15,-1,-1
exp2_n10,X,16,1,1
exp2_n10,X,17,1,-1
exp2_n10,X,18,1,1
exp2_n10,X,19,-1,-1
exp2_n10,X,20,1,1
exp2_n10,X,21,-1,-1
exp2_n10,X,22,1,-1
exp2_n10,X,23,-1,-1
exp2_n10,X,24,1,1
exp2_n20,X,0,1,1
exp2_n20,X,1,1,1
exp2_n20,X,2,-1,1
exp2_n20,X,3,-1,1
exp2_n20,X,4,-1,1
exp2_n20,X,5,-1,-1
exp2_n20,X,6,-1,-1
exp2_n20,X,7,1,-1
exp2_n20,X,8,1,1
exp2_n20,X,9,-1,-1
exp2_n20,X,10,-1,-1
exp2_n20,X,11,-1,-1
exp2_n20,X,12,1,1
exp2_n20,X,13,1,1
exp2_n20,X,14,-1,-1
exp2_n20,X,15,1,1
exp2_n20,X,16,-1,-1
exp2_n20,X,17,-1,-1
exp2_n20,X,18,1,1
exp2_n20,X,19,-1,-1
exp2_n20,X,20,-1,1
exp2_n20,X,21,-1,-1
exp2_n20,X,22,-1,-1
exp2_n20,X,23,-1,-1
exp2_n20,X,24,1,1
exp2_n65,X,0,-1,-1
exp2_n65,X,1,-1,1
exp2_n65,X,2,1,1
exp2_n65,X,3,1,1
exp2_n65,X,4,-1,-1
exp2_n65,X,5,1,1
exp2_n65,X,6,-1,-1
exp2_n65,X,7,1,1
exp2_n65,X,8,-1,-1
exp2_n65,X,9,1,1
exp2_n65,X,10,-1,1
exp2_n65,X,11,-1,1
exp2_n65,X,12,1,-1
exp2_n65,X,13,-1,1
exp2_n65,X,14,-1,1
exp2_n65,X,15,1,1
exp2_n65,X,16,-1,-1
exp2_n65,X,17,1,1
exp2_n65,X,18,1,-1
exp2_n65,X,19,1,1
exp2_n65,X,20,1,-1
exp2_n65,X,21,1,1
exp2_n65,X,22,-1,1
exp2_n65,X,23,1,1
exp2_n65,X,24,-1,-1
exp3,P,0,1,1
exp3,P,1,1,1
exp3,P,2,1,1
exp3,P,3,1,1
exp3,P,4,-1,-1
exp3,P,5,1,1
exp3,P,6,-1,-1
exp3,P,7,-1,-1
exp3,P,8,-1,-1
exp3,P,9,1,1
exp3,P,10,1,1
exp3,P,11,1,1
exp3,P,12,1,1
exp3,P,13,1,1
exp3,P,14,-1,-1
exp3,P,15,1,1
exp3,P,16,-1,-1
exp3,P,17,-1,-1
exp3,P,18,-1,1
exp3,P,19,-1,-1
exp3,P,20,1,1
exp3,P,21,-1,-1
exp3,P,22,-1,-1
exp3,P,23,-1,-1
exp3,P,24,-1,1
exp3,A,0,-1,1
exp3,A,1,1,1
exp3,A,2,1,1
exp3,A,3,1,1
exp3,A,4,-1,-1
exp3,A,5,1,1
exp3,A,6,-1,-1
exp3,A,7,-1,-1
exp3,A,8,-1,-1
exp3,A,9,1,1
exp3,A,10,1,1
exp3,A,11,1,1
exp3,A,12,1,1
exp3,A,13,1,1
exp3,A,14,1,-1
exp3,A,15,1,1
exp3,A,16,-1,-1
exp3,A,17,-1,-1
exp3,A,18,-1,1
exp3,A,19,1,-1
exp3,A,20,1,1
exp3,A,21,-1,-1
exp3,A,22,-1,-1
exp3,A,23,-1,-1
exp3,A,24,1,1
exp3,S,0,-1,-1
exp3,S,1,1,1
exp3,S,2,1,1
exp3,S,3,1,1
exp3,S,4,1,-1
exp3,S,5,1,1
exp3,S,6,-1,-1
exp3,S,7,-1,1
exp3,S,8,-1,-1
exp3,S,9,-1,1
exp3,S,10,-1,1
exp3,S,11,1,1
exp3,S,12,1,-1
exp3,S,13,1,1
exp3,S,14,-1,1
exp3,S,15,-1,1
exp3,S,16,-1,-1
exp3,S,17,-1,1
exp3,S,18,-1,-1
exp3,S,19,1,1
exp3,S,20,1,-1
exp3,S,21,1,1
exp3,S,22,1,1
exp3,S,23,1,1
exp3,S,24,-1,-1
exp3,I,0,1,1
exp3,I,1,1,1
exp3,I,2,1,1
exp3,I,3,1,1
exp3,I,4,1,1
exp3,I,5,-1,-1
exp3,I,6,-1,-1
exp3,I,7,1,-1
exp3,I,8,-1,1
exp3,I,9,-1,-1
exp3,I,10,-1,-1
exp3,I,11,-1,-1
exp3,I,12,1,-1
exp3,I,13,-1,1
exp3,I,14,-1,-1
exp3,I,15,-1,1
exp3,I,16,-1,-1
exp3,I,17,1,-1
exp3,I,18,-1,1
exp3,I,19,-1,-1
exp3,I,20,1,-1
exp3,I,21,1,1
exp3,I,22,1,1
exp3,I,23,1,-1
exp3,I,24,1,-1
exp3,V,0,1,1
exp3,V,1,-1,-1
exp3,V,2,-1,-1
exp3,V,3,-1,-1
exp3,V,4,1,1
exp3,V,5,1,-1
exp3,V,6,-1,-1
exp3,V,7,-1,-1
exp3,V,8,-1,1
exp3,V,9,1,-1
exp3,V,10,1,-1
exp3,V,11,-1,-1
exp3,V,12,-1,-1
exp3,V,13,-1,-1
exp3,V,14,1,-1
exp3,V,15,-1,1
exp3,V,16,1,-1
exp3,V,17,-1,-1
exp3,V,18,1,1
exp3,V,19,-1,-1
exp3,V,20,-1,1
exp3,V,21,-1,1
exp3,V,22,1,1
exp3,V,23,-1,-1
exp3,V,24,-1,1
