group,letter,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
GMPVZ,P,0.25,22,2,3,0,3,30,0.7333333333333333,0.06666666666666667,0.1,0.0,0.1
GMPVZ,P,0.3,19,4,2,2,3,30,0.6333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.1
GMPVZ,P,0.35,12,9,2,3,4,30,0.4,0.3,0.06666666666666667,0.1,0.13333333333333333
GMPVZ,P,0.4,6,10,3,9,2,30,0.2,0.3333333333333333,0.1,0.3,0.06666666666666667
GMPVZ,P,0.45,5,5,3,13,4,30,0.16666666666666666,0.16666666666666666,0.1,0.43333333333333335,0.13333333333333333
GMPVZ,P,0.5,3,4,6,15,2,30,0.1,0.13333333333333333,0.2,0.5,0.06666666666666667
GMPVZ,P,0.55,2,9,3,16,0,30,0.06666666666666667,0.3,0.1,0.5333333333333333,0.0
GMPVZ,P,0.6,1,9,1,17,2,30,0.03333333333333333,0.3,0.03333333333333333,0.5666666666666667,0.06666666666666667
GMPVZ,P,0.65,0,7,2,17,4,30,0.0,0.23333333333333334,0.06666666666666667,0.5666666666666667,0.13333333333333333
GMPVZ,V,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
GMPVZ,V,0.1,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
GMPVZ,V,0.15,29,0,1,0,0,30,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0
GMPVZ,V,0.2,28,0,1,0,1,30,0.9333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333
GMPVZ,V,0.25,26,1,1,0,2,30,0.8666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667
GMPVZ,V,0.3,19,2,3,2,4,30,0.6333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.13333333333333333
GMPVZ,V,0.35,11,6,6,3,4,30,0.36666666666666664,0.2,0.2,0.1,0.13333333333333333
GMPVZ,V,0.4,6,8,5,6,5,30,0.2,0.26666666666666666,0.16666666666666666,0.2,0.16666666666666666
GMPVZ,V,0.45,4,10,0,12,4,30,0.13333333333333333,0.3333333333333333,0.0,0.4,0.13333333333333333
GMPVZ,V,0.5,1,11,2,9,7,30,0.03333333333333333,0.36666666666666664,0.06666666666666667,0.3,0.23333333333333334
GMPVZ,V,0.55,0,14,0,14,2,30,0.0,0.4666666666666667,0.0,0.4666666666666667,0.06666666666666667
GMPVZ,V,0.6,0,6,4,15,5,30,0.0,0.2,0.13333333333333333,0.5,0.16666666666666666
GMPVZ,V,0.65,0,5,3,18,4,30,0.0,0.16666666666666666,0.1,0.6,0.13333333333333333
GMPVZ,Z,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
GMPVZ,Z,0.1,29,0,0,0,1,30,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333
GMPVZ,Z,0.15,28,0,1,0,1,30,0.9333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333
GMPVZ,Z,0.2,24,0,2,0,4,30,0.8,0.0,0.06666666666666667,0.0,0.13333333333333333
GMPVZ,Z,0.25,22,0,3,0,5,30,0.7333333333333333,0.0,0.1,0.0,0.16666666666666666
GMPVZ,Z,0.3,16,4,7,1,2,30,0.5333333333333333,0.13333333333333333,0.23333333333333334,0.03333333333333333,0.06666666666666667
GMPVZ,Z,0.35,9,6,10,3,2,30,0.3,0.2,0.3333333333333333,0.1,0.06666666666666667
GMPVZ,Z,0.4,7,6,9,4,4,30,0.23333333333333334,0.2,0.3,0.13333333333333333,0.13333333333333333
GMPVZ,Z,0.45,5,7,6,11,1,30,0.16666666666666666,0.23333333333333334,0.2,0.36666666666666664,0.03333333333333333
GMPVZ,Z,0.5,3,9,6,10,2,30,0.1,0.3,0.2,0.3333333333333333,0.06666666666666667
GMPVZ,Z,0.55,0,12,4,12,2,30,0.0,0.4,0.13333333333333333,0.4,0.06666666666666667
GMPVZ,Z,0.6,0,8,7,12,3,30,0.0,0.26666666666666666,0.23333333333333334,0.4,0.1
GMPVZ,Z,0.65,0,6,4,19,1,30,0.0,0.2,0.13333333333333333,0.6333333333333333,0.03333333333333333
JLRTVX,J,0.05,28,0,0,0,2,30,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667
JLRTVX,J,0.1,28,0,0,0,2,30,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667
JLRTVX,J,0.15,24,0,2,0,4,30,0.8,0.0,0.06666666666666667,0.0,0.13333333333333333
JLRTVX,J,0.2,22,0,5,0,3,30,0.7333333333333333,0.0,0.16666666666666666,0.0,0.1
JLRTVX,J,0.25,22,0,4,0,4,30,0.7333333333333333,0.0,0.13333333333333333,0.0,0.13333333333333333
JLRTVX,J,0.3,17,1,7,1,4,30,0.5666666666666667,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.13333333333333333
