epoch,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
20,-0.20177152444916413,0.48886101202753246,-0.4777487111167587,0.5000339133105325,-0.1308302722130571,0.45663370430014094,-0.23130914263320257
21,-0.1980832367480654,0.48957822856502925,-0.4744869460974538,0.49912333245921386,-0.13328758149661682,0.4576409044418373,-0.23336009375953484
22,-0.19472984484442082,0.4902191343523185,-0.47150956923706844,0.4983042866944001,-0.13554392760444417,0.4585511101299756,-0.23521384321042949
23,-0.19166799282781025,0.49079473419325753,-0.4687810782335501,0.4975636968987782,-0.1376228716168463,0.4593773232101003,-0.23689739278710745
24,-0.18886146326931222,0.4913140776600919,-0.4662716246636517,0.4968908489072041,-0.13954444552581569,0.4601303649584827,-0.23843304841082247
25,-0.1862797716591148,0.49178466567707596,-0.4639559349176548,0.4962768851188972,-0.1413257869788765,0.4608193083811784,-0.23983939546199626
26,-0.1838970793966173,0.49221276126607916,-0.4618124685058276,0.4957144211187182,-0.1429816420782659,0.4614518126835811,-0.241132041236826
27,-0.1816913443561018,0.492603629510259,-0.4598227551267218,0.4951972530470438,-0.144524767134846,0.4620343845963516,-0.24232418681724086
28,-0.1796436507146084,0.49296172463887844,-0.45797086782281965,0.4947201317312666,-0.14596625226868384,0.46257258441219157,-0.2434270723229646
29,-0.177737675504923,0.493290837187298,-0.45624300078171864,0.4942785865408287,-0.14731578400750767,0.46307118980464174,-0.24445032703571062
30,-0.17595926049390875,0.4935942107146576,-0.4546271283605921,0.4938687867008371,-0.1485818598660065,0.46353432710576187,-0.24540224725235654
31,-0.1742960659513489,0.49387463509573554,-0.4531127277057308,0.49348743112514004,-0.14977196482735436,0.46396557728115007,-0.24629001866336142
32,-0.17273728863937984,0.4941345216310839,-0.4516905515719376,0.493131660178138,-0.15089271737569665,0.4643680620691503,-0.24711989574048174
33,-0.171273430571909,0.49437596393176825,-0.4503524410713268,0.49279898445350356,-0.15194999102478948,0.46474451445035236,-0.2478973475112686
34,-0.16989610821375145,0.49460078758983933,-0.4490911704103893,0.49248722687222696,-0.15294901599940183,0.4650973366490734,-0.24862717683385727
35,-0.16859789411932855,0.494810590945263,-0.44790031742647013,0.49219447529014543,-0.1538944647431195,0.4654286481468782,-0.24931361861785278
36,-0.16737218476667642,0.49500677873638205,-0.446774155064424,0.49191904346079296,-0.15479052417038727,0.4657403256435678,-0.24996042119628167
37,-0.16621308967705353,0.4951905900261807,-0.4457075599513102,0.4916594386883169,-0.1556409569951548,0.46603403648669095,-0.2505709141216632
38,-0.1651153379329177,0.4953631214965671,-0.44469593501100785,0.49141433487305713,-0.15644915401177084,0.4663112667729366,-0.2511480649531711
39,-0.16407419899638578,0.49552534697315653,-0.4437351436693727,0.4911825499315072,-0.15721817884512543,0.4665733450794391,-0.25169452706245465
40,-0.16308541534403304,0.4956781338658688,-0.4428214536764465,0.49096302678586906,-0.15795080640363235,0.46682146259226615,-0.252212680070391
41,-0.16214514491433332,0.49582225707310357,-0.44195148894668673,0.49075481728294856,-0.1586495560433605,0.4670566902500905,-0.2527046642049563
42,-0.16124991174256675,0.49595841078979264,-0.4411221881146511,0.4905570685298476,-0.1593167202715251,0.46727999340349097,-0.2531724096188545
43,-0.16039656345805758,0.49608721857513133,-0.44033076873966476,0.49036901123372045,-0.15995438967280048,0.46749224439723186,-0.25361766150780884
44,-0.159582234557819,0.49620924196899074,-0.4395746962820647,0.4901899497113605,-0.1605644746249798,0.467694233408711,-0.25404200171399655
