K,seed,country,i,j,dist
2,8,Netherlands,0,1,1.9350177038988534
2,8,Norway,0,1,2.7513484955332417
2,8,Poland,1,0,1.5993590847275396
2,8,Portugal,1,0,1.2971143913598993
2,8,Slovakia,1,0,1.4482543617367976
2,8,Slovenia,1,0,1.5819775011654025
2,8,Spain,0,1,3.6341003117085466
2,8,Sweden,0,1,2.095240894945022
2,8,Switzerland,0,1,3.477993183351308
2,8,Ukraine,1,0,5.694571075967475
2,8,United Kingdom,0,1,2.033492009192202
2,9,Austria,0,1,1.8081726667553297
2,9,Belgium,0,1,1.1996835878001924
2,9,Bulgaria,1,0,2.87502448610205
2,9,Croatia,1,0,2.443182129976857
2,9,Czech Republic,1,0,1.4889560386988316
2,9,Denmark,0,1,1.217709455350386
2,9,Estonia,1,0,2.6416023096967214
2,9,Finland,0,1,1.2988031941128295
2,9,Germany,0,1,1.7879531657136498
2,9,Greece,1,0,3.8287512000088704
2,9,Hungary,1,0,1.4442288854187435
2,9,Iceland,0,1,2.546880681833427
2,9,Ireland,0,1,2.5741241448973504
2,9,Italy,0,1,1.5023213929715713
2,9,Latvia,1,0,2.6528910582438807
2,9,Lithuania,1,0,2.132869798125895
2,9,Luxembourg,0,1,4.174481970083125
2,9,Netherlands,0,1,1.9016546224566315
2,9,Norway,0,1,2.7000207173803576
2,9,Poland,1,0,1.5802877973889988
2,9,Portugal,1,0,1.2894943337526519
2,9,Slovakia,1,0,1.4698771439438043
2,9,Slovenia,1,0,1.6057207247748462
2,9,Spain,0,1,3.6376221575719954
2,9,Sweden,0,1,2.0546428669661285
2,9,Switzerland,0,1,3.4369553777923953
2,9,Ukraine,1,0,5.68083959757715
2,9,United Kingdom,0,1,2.037429066786823
3,0,Austria,0,2,1.5445554486698638
3,0,Belgium,0,2,1.0822053167710024
3,0,Bulgaria,2,0,2.501699919367127
3,0,Croatia,2,0,2.1837241471000937
3,0,Czech Republic,2,2,1.3807118202789836
3,0,Denmark,0,2,0.9974130632828703
3,0,Estonia,2,0,2.2495852667263736
3,0,Finland,0,1,1.2769010251043929
3,0,Germany,0,2,1.6717116091778355
3,0,Greece,2,0,3.6631201734768455
3,0,Hungary,2,0,1.0816225790189031
3,0,Iceland,0,2,2.2791648397143756
3,0,Ireland,0,2,2.403197945172394
3,0,Italy,0,2,1.3856821874862413
3,0,Latvia,2,0,2.3240576003979636
3,0,Lithuania,2,0,1.8667259817095023
3,0,Luxembourg,0,2,3.8361127276600766
3,0,Netherlands,0,2,1.561728857598795
3,0,Norway,0,2,2.3915315531153767
3,0,Poland,2,0,1.2245678218035718
3,0,Portugal,2,0,1.142624364262144
3,0,Slovakia,2,0,1.3292893114355588
3,0,Slovenia,2,2,1.572141903061562
3,0,Spain,0,0,3.565879767190694
3,0,Sweden,0,2,1.8936201783493765
3,0,Switzerland,0,2,3.06825169529737
3,0,Ukraine,2,0,5.388040763686093
3,0,United Kingdom,0,0,1.9950191722778436
3,1,Austria,0,0,1.59027997325509
3,1,Belgium,0,1,1.1301780246226245
3,1,Bulgaria,2,2,2.5005526151205193
3,1,Croatia,2,2,2.1363818950132463
3,1,Czech Republic,0,2,1.4345822666315273
3,1,Denmark,0,0,1.068573117409381
3,1,Estonia,2,2,2.227679921538945
3,1,Finland,1,0,1.259493605490017
3,1,Germany,0,0,1.6422854213279985
3,1,Greece,2,2,3.697115110486107
3,1,Hungary,2,2,1.0459271523323286
3,1,Iceland,0,0,2.2905500395640073
3,1,Ireland,0,0,2.4062689097947416
3,1,Italy,0,0,1.3006408349340604
3,1,Latvia,2,2,2.2633172875281784
3,1,Lithuania,2,2,1.7814442180650563
3,1,Luxembourg,0,0,3.8669751311777114
3,1,Netherlands,0,0,1.5894677812718818
3,1,Norway,0,0,2.380610834162625
3,1,Poland,2,2,1.2331383987094928
3,1,Portugal,2,2,1.162784350991774
3,1,Slovakia,2,2,1.2581394514293518
3,1,Slovenia,1,2,1.5811983943014138
3,1,Spain,2,0,3.5536474586824887
3,1,Sweden,0,0,1.8273163577123328
3,1,Switzerland,0,0,3.093771319705706
3,1,Ukraine,2,2,5.398644500331824
3,1,United Kingdom,1,0,2.018972995674466
3,2,Austria,2,0,1.5869120805727865
3,2,Belgium,2,0,1.1192145599454253
3,2,Bulgaria,0,2,2.4796077929275735
3,2,Croatia,0,2,2.1321499561877197
3,2,Czech Republic,2,2,1.4782818917302083
3,2,Denmark,2,0,1.0483158446014136
3,2,Estonia,0,2,2.2139350469466206
3,2,Finland,1,0,1.2610110556873069
3,2,Germany,2,0,1.6818506865331004
3,2,Greece,0,2,3.6677671114460932
3,2,Hungary,0,2,1.0390428057217986
3,2,Iceland,2,0,2.2908104494233883
3,2,Ireland,2,0,2.392921620994484
3,2,Italy,2,0,1.333209818052119
3,2,Latvia,0,2,2.2735680065120056
3,2,Lithuania,0,2,1.8097261274609835
3,2,Luxembourg,2,0,3.8298294129716317
3,2,Netherlands,2,0,1.5717139239756601
3,2,Norway,2,0,2.3872162381866926
3,2,Poland,0,2,1.226336761630195
3,2,Portugal,0,2,1.1466381236846734
3,2,Slovakia,0,2,1.2836150295843662
3,2,Slovenia,1,2,1.589141146091609
3,2,Spain,0,0,3.5816215208008226
3,2,Sweden,2,0,1.861926781561635
3,2,Switzerland,2,0,3.092649910984953
3,2,Ukraine,0,2,5.3910312208599604
3,2,United Kingdom,1,0,2.000767136898008
3,3,Austria,2,0,1.6668879064434696
3,3,Belgium,2,1,1.158182756626573
3,3,Bulgaria,0,2,2.4827665743405465
3,3,Croatia,0,2,2.212804189006707
3,3,Czech Republic,2,2,1.4950077317863948
3,3,Denmark,2,0,1.14575809463387
3,3,Estonia,0,2,2.2341911166208037
3,3,Finland,2,0,1.1897280940197927
3,3,Germany,2,0,1.6404650123829112
3,3,Greece,0,2,3.7270525725177523
3,3,Hungary,0,2,1.0407794696618538
3,3,Iceland,2,0,2.393402261064505
3,3,Ireland,2,0,2.4858535548407428
3,3,Italy,2,0,1.3066950997597486
3,3,Latvia,0,2,2.294728636663247
3,3,Lithuania,0,2,1.8666926735372185
3,3,Luxembourg,2,0,3.9492762573072504
3,3,Netherlands,2,0,1.6897057306447505
3,3,Norway,2,0,2.43629433300236
3,3,Poland,0,2,1.3404292855841704
3,3,Portugal,0,2,1.184269581163345
3,3,Slovakia,0,2,1.3025462868221234
3,3,Slovenia,0,2,1.5770664296234227
3,3,Spain,2,0,3.633321972211781
3,3,Sweden,2,0,1.8286821490055802
3,3,Switzerland,2,0,3.2254998428730146
3,3,Ukraine,0,2,5.43562641506968
3,3,United Kingdom,2,0,1.9476253404719865
3,4,Austria,2,2,1.6151840987878627
3,4,Belgium,2,2,1.1285665206518851
3,4,Bulgaria,0,0,2.3591094409517726
3,4,Croatia,0,0,2.134034908082614
3,4,Czech Republic,2,0,1.4824309053615912
3,4,Denmark,2,2,1.073234166672178
3,4,Estonia,0,0,2.129799986558561
3,4,Finland,1,2,1.2553967202775576
3,4,Germany,2,2,1.670683863091536
3,4,Greece,0,0,3.654188533907794
3,4,Hungary,0,0,0.9470959486708953
3,4,Iceland,2,2,2.335091428775909
3,4,Ireland,2,2,2.4428882096577866
3,4,Italy,2,2,1.3461567470751128
3,4,Latvia,0,0,2.227516483423803
3,4,Lithuania,0,0,1.834777978693327
3,4,Luxembourg,2,2,3.911326048545769
3,4,Netherlands,2,2,1.6402899960337003
3,4,Norway,2,2,2.4391866416936385
3,4,Poland,0,0,1.2406426691310701
3,4,Portugal,0,0,1.149400062516242
3,4,Slovakia,0,0,1.3234714940764627
3,4,Slovenia,1,0,1.580271567969883
3,4,Spain,1,2,3.662706225463778
3,4,Sweden,2,2,1.87413034680912
3,4,Switzerland,2,2,3.162436681043527
3,4,Ukraine,0,0,5.3576864285880035
3,4,United Kingdom,1,2,1.9977129733065855
3,5,Austria,0,0,1.5252982647544937
3,5,Belgium,0,0,1.0399496275550253
3,5,Bulgaria,2,2,2.4539101852772833
3,5,Croatia,2,2,2.156341648644404
3,5,Czech Republic,0,2,1.4549416112434896
3,5,Denmark,0,0,0.963709074756867
3,5,Estonia,2,2,2.181369516192501
3,5,Finland,1,0,1.2913091063694815
3,5,Germany,0,0,1.660593021322292
3,5,Greece,2,2,3.64847017426349
3,5,Hungary,2,2,1.0258241631077805
3,5,Iceland,0,0,2.323849379397141
3,5,Ireland,0,0,2.478503135630414
3,5,Italy,0,0,1.407587225157354
3,5,Latvia,2,2,2.2670558044391003
3,5,Lithuania,2,2,1.811466077823895
3,5,Luxembourg,0,0,3.88391982459171
3,5,Netherlands,0,0,1.5604603494477671
3,5,Norway,0,0,2.4109556514187718
3,5,Poland,2,2,1.1808358945543542
3,5,Portugal,2,2,1.1233741277171827
3,5,Slovakia,2,2,1.2942700767775195
3,5,Slovenia,1,2,1.5882625709538438
3,5,Spain,2,0,3.629001214025559
3,5,Sweden,0,0,1.9243022076255625
3,5,Switzerland,0,0,3.1010104631655975
3,5,Ukraine,2,2,5.341695814575592
3,5,United Kingdom,1,0,2.039901647101388
3,6,Austria,2,0,1.6360161149332368
3,6,Belgium,2,1,1.1643376166173198
3,6,Bulgaria,0,2,2.4876027086108907
3,6,Croatia,0,2,2.11910795782421
3,6,Czech Republic,2,2,1.4975912982013213
3,6,Denmark,2,0,1.094888630043983
3,6,Estonia,0,2,2.211338688797355
3,6,Finland,1,0,1.2890444417830282
3,6,Germany,2,0,1.683402693468773
3,6,Greece,0,2,3.686753042271993
3,6,Hungary,0,2,1.0193775907843732
3,6,Iceland,2,0,2.292590078083022
3,6,Ireland,2,0,2.3466523301870588
3,6,Italy,2,0,1.2884665216113877
3,6,Latvia,0,2,2.2580806950422287
3,6,Lithuania,0,2,1.7838873374618376
3,6,Luxembourg,2,0,3.8359530516527274
3,6,Netherlands,2,0,1.5845521130121083
3,6,Norway,2,0,2.378403648379659
3,6,Poland,0,2,1.2836765927016933
3,6,Portugal,0,2,1.1376149204608221
3,6,Slovakia,0,2,1.2391382836600804
3,6,Slovenia,1,2,1.5699170923036512
3,6,Spain,1,0,3.6095485326571106
3,6,Sweden,2,0,1.8356504038896064
3,6,Switzerland,2,0,3.078848609523228
3,6,Ukraine,0,2,5.431171726267511
3,6,United Kingdom,2,0,2.0097677334655795
3,7,Austria,2,2,1.6082781721978567
