caso,letra,pixel,input,output
exp3,G,7,-1,1
exp3,G,8,-1,1
exp3,G,9,-1,-1
exp3,G,10,1,-1
exp3,G,11,-1,1
exp3,G,12,-1,-1
exp3,G,13,1,1
exp3,G,14,1,-1
exp3,G,15,1,-1
exp3,G,16,-1,1
exp3,G,17,-1,1
exp3,G,18,-1,-1
exp3,G,19,1,-1
exp3,G,20,-1,-1
exp3,G,21,1,1
exp3,G,22,1,1
exp3,G,23,1,1
exp3,G,24,1,-1
exp3,Q,0,-1,1
exp3,Q,1,1,-1
exp3,Q,2,1,-1
exp3,Q,3,1,-1
exp3,Q,4,-1,1
exp3,Q,5,1,1
exp3,Q,6,-1,1
exp3,Q,7,-1,-1
exp3,Q,8,-1,-1
exp3,Q,9,1,1
exp3,Q,10,1,1
exp3,Q,11,-1,-1
exp3,Q,12,-1,1
exp3,Q,13,-1,-1
exp3,Q,14,1,1
exp3,Q,15,1,1
exp3,Q,16,-1,-1
exp3,Q,17,-1,-1
exp3,Q,18,1,1
exp3,Q,19,-1,1
exp3,Q,20,-1,1
exp3,Q,21,1,-1
exp3,Q,22,1,-1
exp3,Q,23,-1,-1
exp3,Q,24,1,1
exp3,O,0,-1,-1
exp3,O,1,1,1
exp3,O,2,1,1
exp3,O,3,1,1
exp3,O,4,-1,-1
exp3,O,5,1,-1
exp3,O,6,-1,-1
exp3,O,7,-1,1
exp3,O,8,-1,1
exp3,O,9,1,-1
exp3,O,10,1,-1
exp3,O,11,-1,1
exp3,O,12,-1,-1
exp3,O,13,-1,1
exp3,O,14,1,-1
exp3,O,15,1,-1
exp3,O,16,-1,1
exp3,O,17,-1,1
exp3,O,18,-1,-1
exp3,O,19,1,-1
exp3,O,20,-1,-1
exp3,O,21,1,1
exp3,O,22,1,1
exp3,O,23,1,1
exp3,O,24,-1,-1
