K,seed,country,i,j,dist
3,7,Germany,0,1,1.7296484211089853
3,7,Greece,0,2,3.7099762914540753
3,7,Hungary,2,1,0.8517269254549775
3,7,Iceland,1,1,2.1485565239355817
3,7,Ireland,1,1,2.1692866715241728
3,7,Italy,0,1,1.4110936425028113
3,7,Latvia,2,1,2.0313696847797296
3,7,Lithuania,2,1,1.7466396594392477
3,7,Luxembourg,1,1,2.7453275151724665
3,7,Netherlands,1,0,1.0273075315738236
3,7,Norway,1,0,2.029244650734809
3,7,Poland,0,2,1.117161559514908
3,7,Portugal,0,2,1.3258275062024432
3,7,Slovakia,1,2,1.1228213824867135
3,7,Slovenia,1,2,1.550338822371856
3,7,Spain,2,0,2.2253307565375606
3,7,Sweden,2,0,1.9058797405518706
3,7,Switzerland,1,0,2.1814732705368964
3,7,Ukraine,0,0,3.6399248339823043
3,7,United Kingdom,0,1,2.0650026231600007
3,8,Austria,2,2,1.413734513713694
3,8,Belgium,2,2,0.8634523091299581
3,8,Bulgaria,0,2,2.0934063635391302
3,8,Croatia,0,1,1.9857995760385843
3,8,Czech Republic,1,1,0.9461328348951223
3,8,Denmark,2,2,0.6594422939737321
3,8,Estonia,0,2,1.697026266893278
3,8,Finland,1,2,0.9211048332201794
3,8,Germany,1,2,1.1510516007197458
3,8,Greece,0,1,2.4667142291385487
3,8,Hungary,0,2,0.7241332644259889
3,8,Iceland,2,0,2.3095887675714817
3,8,Ireland,2,0,2.4322590428887416
3,8,Italy,1,0,1.314697551960738
3,8,Latvia,0,2,1.8643083322546947
3,8,Lithuania,0,2,1.6327131489490812
3,8,Luxembourg,2,0,3.668781430995742
3,8,Netherlands,2,0,1.0625009987911351
3,8,Norway,2,0,2.2682824855338484
3,8,Poland,0,2,1.3533204154226413
3,8,Portugal,0,1,0.7740831042323906
3,8,Slovakia,0,2,1.27004818978515
3,8,Slovenia,2,1,1.0754924834485486
3,8,Spain,0,0,3.6167025903280763
3,8,Sweden,1,2,1.5980545895565177
3,8,Switzerland,2,0,2.715712243664863
3,8,Ukraine,0,2,5.1454606255395205
3,8,United Kingdom,1,0,1.2887102264799222
3,9,Austria,0,0,1.3692658106441546
3,9,Belgium,2,2,0.9634582295831297
3,9,Bulgaria,0,2,2.525295453924778
3,9,Croatia,1,1,1.6956495614613363
3,9,Czech Republic,2,1,1.3824699130580391
3,9,Denmark,2,2,0.6821932106524229
3,9,Estonia,0,2,2.3055226051153097
3,9,Finland,0,1,0.7917334702739818
3,9,Germany,1,0,1.1375437230232186
3,9,Greece,1,1,3.3611677085629554
3,9,Hungary,2,1,1.4449755597358134
3,9,Iceland,0,0,1.5743181436853915
3,9,Ireland,1,2,2.096420254534903
3,9,Italy,0,1,0.9914726129213906
3,9,Latvia,0,2,2.304340279378098
3,9,Lithuania,2,1,1.9130906147924294
3,9,Luxembourg,1,2,2.636862960182723
3,9,Netherlands,2,2,1.0835443867905477
3,9,Norway,2,0,1.5583874588240005
3,9,Poland,0,2,1.163414962929011
3,9,Portugal,1,1,0.9841504378347953
3,9,Slovakia,2,1,1.120351002809436
3,9,Slovenia,1,1,1.1449306812563846
3,9,Spain,0,1,3.4188143432010376
3,9,Sweden,0,1,1.3295853172546437
3,9,Switzerland,2,0,2.6753918525333504
3,9,Ukraine,0,2,3.753225723529913
3,9,United Kingdom,0,1,1.9410389877355831
5,0,Austria,4,3,1.0529571131024906
5,0,Belgium,4,3,0.7061123067495366
5,0,Bulgaria,1,1,1.8917393330730699
5,0,Croatia,4,1,2.063110971241407
5,0,Czech Republic,1,3,0.9571292801942457
5,0,Denmark,3,1,0.7510677388760769
5,0,Estonia,1,1,1.8500560290866401
5,0,Finland,0,3,0.7859425079267277
5,0,Germany,0,4,0.9555528948146708
5,0,Greece,3,0,3.3805388969045724
