epoch,eta,w_norm,delta_w_norm
100,0.001,1.0013752733743588,0.00065293720271204
101,0.001,1.0013749121632478,0.0006150388754253979
102,0.001,1.0013745783766788,0.0005793545523247132
103,0.001,1.0013742695516252,0.0005457539117471368
104,0.001,1.00137398349025,0.0005141143635243277
105,0.001,1.0013737182268154,0.000484320587826105
106,0.001,1.0013734719991418,0.0004562641013628695
107,0.001,1.001373243223954,0.00042984284938854354
108,0.001,1.0013730304755517,0.00040496082202335455
109,0.001,1.0013728324673277,0.00038152769348614177
110,0.001,1.0013726480357221,0.00035945848289915133
111,0.001,1.0013724761262732,0.0003386732353999074
112,0.001,1.001372315781462,0.00031909672236041817
113,0.001,1.0013721661301058,0.0003006581595815155
114,0.001,1.001372026378084,0.0002832909423937067
115,0.001,1.001371895800213,0.00026693239665385993
116,0.001,1.001371773733109,0.000251523544688075
117,0.001,1.0013716595689173,0.00023700888528249836
118,0.001,1.0013715527497782,0.00022333618688032833
119,0.001,1.00137145276294,0.00021045629318846448
120,0.001,1.0013713591364364,0.00019832294044707128
121,0.001,1.001371271435248,0.0001868925856578677
122,0.001,1.0013711892578923,0.0001761242451121998
123,0.001,1.0013711122333837,0.0001659793425946197
124,0.001,1.0013710400185234,0.00015642156667792918
125,0.001,1.00137097229547,0.0001474167365639514
126,0.001,1.0013709087695655,0.00013893267594853437
127,0.001,1.001370849167379,0.00013093909443073122
128,0.001,1.0013707932349492,0.00012340747600844102
129,0.001,1.0013707407361945,0.00011631097423336301
130,0.001,1.0013706914514806,0.00010962431362361045
