eta_inicial,grilla,country,dist_mean,dist_std
0.3,hexagonal,Finland,1.2167535200065365,0.05090758579546308
0.3,hexagonal,Germany,1.7090902725937778,0.06160045937275035
0.3,hexagonal,Greece,3.7447666070483185,0.058269122963428045
0.3,hexagonal,Hungary,1.3375357829464014,0.08353663603384368
0.3,hexagonal,Iceland,2.4775346493828034,0.04559447173390442
0.3,hexagonal,Ireland,2.522494235231271,0.05255498294490142
0.3,hexagonal,Italy,1.43549249554532,0.07634231329366235
0.3,hexagonal,Latvia,2.545361622319457,0.08599576983629797
0.3,hexagonal,Lithuania,2.052677466607316,0.09832776004512761
0.3,hexagonal,Luxembourg,4.077063494771041,0.04661900663314468
0.3,hexagonal,Netherlands,1.7926363355262178,0.07951396876169602
0.3,hexagonal,Norway,2.5986052202913172,0.09539885892390003
0.3,hexagonal,Poland,1.4441498758212412,0.05785504135688652
0.3,hexagonal,Portugal,1.2296824452137414,0.06414136787686339
0.3,hexagonal,Slovakia,1.421850976528862,0.09155365272273253
0.3,hexagonal,Slovenia,1.5683764095075479,0.039300725537776526
0.3,hexagonal,Spain,3.5342053130212756,0.115777935449497
0.3,hexagonal,Sweden,1.9731036078540647,0.0705857750154041
0.3,hexagonal,Switzerland,3.3310178392912086,0.07982042448989969
0.3,hexagonal,Ukraine,5.523543327439467,0.08171684873876527
0.3,hexagonal,United Kingdom,1.9836436168233251,0.04025878547709139
0.3,rectangular,Austria,1.7034714454010984,0.05172524274080109
0.3,rectangular,Belgium,1.1328720537861405,0.05302029279754122
0.3,rectangular,Bulgaria,2.7141862996233623,0.0633374000522366
0.3,rectangular,Croatia,2.370124120942406,0.08265797541432748
0.3,rectangular,Czech Republic,1.4219030385178821,0.050904864963849
0.3,rectangular,Denmark,1.114092877750167,0.0689823916747485
0.3,rectangular,Estonia,2.4774131902363425,0.07629510708188267
0.3,rectangular,Finland,1.2177544858893332,0.051583629046264214
0.3,rectangular,Germany,1.6956518733144414,0.04782901482080345
0.3,rectangular,Greece,3.725576946769017,0.0605847880832415
0.3,rectangular,Hungary,1.2944964876347504,0.07871439528985899
0.3,rectangular,Iceland,2.444743690782702,0.05297806738005711
0.3,rectangular,Ireland,2.4905097775184526,0.06202329361388103
0.3,rectangular,Italy,1.4016750090448826,0.08401008820801278
0.3,rectangular,Latvia,2.5015865184102424,0.08483936958077347
0.3,rectangular,Lithuania,2.012359900352915,0.10090820766036934
0.3,rectangular,Luxembourg,4.025262647240888,0.05991366015331545
0.3,rectangular,Netherlands,1.7331012078412744,0.10194427257266929
0.3,rectangular,Norway,2.5453507415885155,0.11216146520505352
0.3,rectangular,Poland,1.4033433348789077,0.0726176709976984
0.3,rectangular,Portugal,1.2215494747803608,0.07144009017662953
0.3,rectangular,Slovakia,1.3916458203469937,0.09244234359598355
0.3,rectangular,Slovenia,1.5697091023357292,0.02812834598025567
0.3,rectangular,Spain,3.5339104835661983,0.1089095047930989
0.3,rectangular,Sweden,1.9453155885135995,0.07336688149312111
0.3,rectangular,Switzerland,3.266827651106431,0.10536978556693663
0.3,rectangular,Ukraine,5.4953587413984355,0.09834248115230804
0.3,rectangular,United Kingdom,1.9721713670910028,0.05125471369175672
