eta_inicial,grilla,seed,country,i,j,dist
0.1,rectangular,9,Latvia,0,2,2.304340279378098
0.1,rectangular,9,Lithuania,2,1,1.9130906147924294
0.1,rectangular,9,Luxembourg,1,2,2.636862960182723
0.1,rectangular,9,Netherlands,2,2,1.0835443867905477
0.1,rectangular,9,Norway,2,0,1.5583874588240005
0.1,rectangular,9,Poland,0,2,1.163414962929011
0.1,rectangular,9,Portugal,1,1,0.9841504378347953
0.1,rectangular,9,Slovakia,2,1,1.120351002809436
0.1,rectangular,9,Slovenia,1,1,1.1449306812563846
0.1,rectangular,9,Spain,0,1,3.4188143432010376
0.1,rectangular,9,Sweden,0,1,1.3295853172546437
0.1,rectangular,9,Switzerland,2,0,2.6753918525333504
0.1,rectangular,9,Ukraine,0,2,3.753225723529913
0.1,rectangular,9,United Kingdom,0,1,1.9410389877355831
0.1,hexagonal,0,Austria,2,1,1.1453639536163656
0.1,hexagonal,0,Belgium,1,2,0.7025751929385726
0.1,hexagonal,0,Bulgaria,2,0,1.9354981709549368
0.1,hexagonal,0,Croatia,2,0,2.2229213440552122
0.1,hexagonal,0,Czech Republic,2,2,0.8558548728368757
0.1,hexagonal,0,Denmark,0,1,0.6767562416820152
0.1,hexagonal,0,Estonia,2,0,1.9259409828605374
0.1,hexagonal,0,Finland,1,0,0.8561994493185325
0.1,hexagonal,0,Germany,1,1,1.1451103136558771
0.1,hexagonal,0,Greece,2,0,3.6319415466642084
0.1,hexagonal,0,Hungary,0,2,0.874002646904153
0.1,hexagonal,0,Iceland,2,1,2.2175197258391446
0.1,hexagonal,0,Ireland,0,0,2.3255406512467576
0.1,hexagonal,0,Italy,1,0,1.3107507160797691
0.1,hexagonal,0,Latvia,0,2,1.8086387139552436
0.1,hexagonal,0,Lithuania,0,2,1.457938503005312
0.1,hexagonal,0,Luxembourg,0,1,3.7963709104129597
0.1,hexagonal,0,Netherlands,0,1,1.217470384264818
0.1,hexagonal,0,Norway,1,1,2.319285088987362
0.1,hexagonal,0,Poland,2,0,1.4087787613988125
0.1,hexagonal,0,Portugal,2,0,1.3772943504969812
0.1,hexagonal,0,Slovakia,0,2,1.0126260224198584
0.1,hexagonal,0,Slovenia,2,2,1.2600272366550709
0.1,hexagonal,0,Spain,0,0,2.3087894256919768
0.1,hexagonal,0,Sweden,1,1,1.6221303920412888
0.1,hexagonal,0,Switzerland,0,1,2.853277364195959
0.1,hexagonal,0,Ukraine,0,2,5.273623656237635
0.1,hexagonal,0,United Kingdom,1,0,1.8677164348800794
0.1,hexagonal,1,Austria,1,1,1.177673709840202
0.1,hexagonal,1,Belgium,1,1,0.8027599618010305
0.1,hexagonal,1,Bulgaria,2,2,2.201226521931433
0.1,hexagonal,1,Croatia,2,2,2.2698805755278895
0.1,hexagonal,1,Czech Republic,1,2,0.9197866961922516
0.1,hexagonal,1,Denmark,1,1,0.9155623756538264
0.1,hexagonal,1,Estonia,2,2,1.8375582447545835
0.1,hexagonal,1,Finland,0,0,0.9588745008352624
0.1,hexagonal,1,Germany,0,0,1.4660903192441246
0.1,hexagonal,1,Greece,2,2,3.809287163737208
0.1,hexagonal,1,Hungary,2,2,0.823390071883712
0.1,hexagonal,1,Iceland,1,1,2.173424974882619
0.1,hexagonal,1,Ireland,2,0,2.4092905100303175
0.1,hexagonal,1,Italy,0,0,0.8422089312232598
0.1,hexagonal,1,Latvia,0,1,1.8933979707855189
0.1,hexagonal,1,Lithuania,0,1,1.4856071065247696
0.1,hexagonal,1,Luxembourg,1,1,3.9622330156773544
0.1,hexagonal,1,Netherlands,1,1,1.6780830745466633
0.1,hexagonal,1,Norway,0,0,2.440902126801483
0.1,hexagonal,1,Poland,2,1,1.1879365118254075
0.1,hexagonal,1,Portugal,2,2,1.3625141114399448
0.1,hexagonal,1,Slovakia,0,1,1.0599343437418371
0.1,hexagonal,1,Slovenia,1,2,1.3174174090744883
0.1,hexagonal,1,Spain,2,0,2.167740414556281
0.1,hexagonal,1,Sweden,0,0,1.525795445141024
0.1,hexagonal,1,Switzerland,1,1,3.261368982589395
0.1,hexagonal,1,Ukraine,2,1,3.682256790427362
0.1,hexagonal,1,United Kingdom,0,0,1.8664930309549292
0.1,hexagonal,2,Austria,1,1,1.351914661665591
0.1,hexagonal,2,Belgium,1,1,1.0418060380304328
0.1,hexagonal,2,Bulgaria,2,1,2.0433779850871967
0.1,hexagonal,2,Croatia,0,2,1.6857946596162177
0.1,hexagonal,2,Czech Republic,1,2,1.1284678492678464
0.1,hexagonal,2,Denmark,1,1,1.109492382384426
0.1,hexagonal,2,Estonia,2,1,1.9602576329372796
0.1,hexagonal,2,Finland,0,1,0.8536601301808167
0.1,hexagonal,2,Germany,1,0,1.1854881273823563
0.1,hexagonal,2,Greece,2,2,2.480919051691477
0.1,hexagonal,2,Hungary,2,1,0.9174866570590318
0.1,hexagonal,2,Iceland,1,1,1.6229596386544418
0.1,hexagonal,2,Ireland,2,0,1.5877721644688538
0.1,hexagonal,2,Italy,0,1,1.3002499798876321
0.1,hexagonal,2,Latvia,2,1,2.214985005263198
0.1,hexagonal,2,Lithuania,0,2,2.0127733041213673
0.1,hexagonal,2,Luxembourg,2,0,3.6176329287954965
0.1,hexagonal,2,Netherlands,1,1,1.789676449505907
0.1,hexagonal,2,Norway,1,0,2.2928533712674732
0.1,hexagonal,2,Poland,2,1,1.405364751809126
0.1,hexagonal,2,Portugal,2,2,0.8189784534171272
0.1,hexagonal,2,Slovakia,0,2,1.438001846044218
0.1,hexagonal,2,Slovenia,1,2,1.0748571278524182
0.1,hexagonal,2,Spain,0,0,2.269745839055236
0.1,hexagonal,2,Sweden,1,0,1.5788176996479961
0.1,hexagonal,2,Switzerland,2,0,3.0896590761435037
0.1,hexagonal,2,Ukraine,2,1,5.289298408718337
0.1,hexagonal,2,United Kingdom,2,2,1.7300892093627098
0.1,hexagonal,3,Austria,2,2,1.5708295252168605
0.1,hexagonal,3,Belgium,2,2,0.8285829713932078
0.1,hexagonal,3,Bulgaria,0,1,1.756138193511292
0.1,hexagonal,3,Croatia,0,0,2.070209718246884
0.1,hexagonal,3,Czech Republic,1,2,1.1155377089326646
0.1,hexagonal,3,Denmark,0,2,0.9041814509114993
0.1,hexagonal,3,Estonia,1,0,1.7101143298487593
0.1,hexagonal,3,Finland,2,0,0.6603685087325946
0.1,hexagonal,3,Germany,2,0,1.2466115083906122
0.1,hexagonal,3,Greece,0,1,3.5516829893135875
0.1,hexagonal,3,Hungary,1,0,0.7318040268858562
0.1,hexagonal,3,Iceland,2,1,2.2034816347618675
0.1,hexagonal,3,Ireland,2,1,2.203834948396808
0.1,hexagonal,3,Italy,2,0,1.0980767007274397
0.1,hexagonal,3,Latvia,1,0,1.9434497907830424
0.1,hexagonal,3,Lithuania,1,0,1.723848679845541
0.1,hexagonal,3,Luxembourg,2,1,2.822996276871614
