caso,letra,pixel,input,output
exp2_n65,T,0,-1,-1
exp2_n65,T,1,-1,-1
exp2_n65,T,2,1,-1
exp2_n65,T,3,-1,-1
exp2_n65,T,4,1,-1
exp2_n65,T,5,-1,1
exp2_n65,T,6,1,1
exp2_n65,T,7,-1,-1
exp2_n65,T,8,-1,1
exp2_n65,T,9,1,1
exp2_n65,T,10,1,1
exp2_n65,T,11,-1,1
exp2_n65,T,12,-1,-1
exp2_n65,T,13,-1,1
exp2_n65,T,14,1,1
exp2_n65,T,15,1,1
exp2_n65,T,16,1,1
exp2_n65,T,17,-1,-1
exp2_n65,T,18,-1,1
exp2_n65,T,19,1,1
exp2_n65,T,20,1,1
exp2_n65,T,21,-1,1
exp2_n65,T,22,-1,-1
exp2_n65,T,23,1,1
exp2_n65,T,24,1,1
exp2_n10,V,0,1,1
exp2_n10,V,1,-1,-1
exp2_n10,V,2,-1,-1
exp2_n10,V,3,1,-1
exp2_n10,V,4,1,1
exp2_n10,V,5,1,1
exp2_n10,V,6,-1,-1
exp2_n10,V,7,-1,-1
exp2_n10,V,8,-1,-1
exp2_n10,V,9,1,1
exp2_n10,V,10,1,1
exp2_n10,V,11,-1,-1
exp2_n10,V,12,-1,-1
exp2_n10,V,13,-1,-1
exp2_n10,V,14,-1,1
exp2_n10,V,15,-1,-1
exp2_n10,V,16,1,1
exp2_n10,V,17,1,-1
exp2_n10,V,18,1,1
exp2_n10,V,19,-1,-1
exp2_n10,V,20,-1,-1
exp2_n10,V,21,-1,-1
exp2_n10,V,22,-1,1
exp2_n10,V,23,-1,-1
exp2_n10,V,24,-1,-1
exp2_n20,V,0,1,1
exp2_n20,V,1,1,-1
exp2_n20,V,2,-1,-1
exp2_n20,V,3,-1,-1
exp2_n20,V,4,-1,1
exp2_n20,V,5,1,1
exp2_n20,V,6,1,-1
exp2_n20,V,7,1,-1
exp2_n20,V,8,-1,-1
exp2_n20,V,9,1,1
exp2_n20,V,10,1,1
exp2_n20,V,11,-1,-1
exp2_n20,V,12,-1,-1
exp2_n20,V,13,1,-1
exp2_n20,V,14,1,1
exp2_n20,V,15,1,-1
exp2_n20,V,16,-1,1
exp2_n20,V,17,-1,-1
exp2_n20,V,18,1,1
exp2_n20,V,19,-1,-1
exp2_n20,V,20,1,-1
exp2_n20,V,21,-1,-1
exp2_n20,V,22,1,1
exp2_n20,V,23,-1,-1
exp2_n20,V,24,-1,-1
exp2_n65,V,0,-1,-1
exp2_n65,V,1,-1,-1
exp2_n65,V,2,1,-1
exp2_n65,V,3,1,-1
exp2_n65,V,4,-1,1
exp2_n65,V,5,-1,-1
exp2_n65,V,6,1,1
exp2_n65,V,7,1,1
exp2_n65,V,8,1,1
exp2_n65,V,9,-1,-1
exp2_n65,V,10,1,-1
exp2_n65,V,11,-1,-1
exp2_n65,V,12,-1,-1
exp2_n65,V,13,-1,-1
exp2_n65,V,14,1,1
exp2_n65,V,15,1,-1
exp2_n65,V,16,-1,1
exp2_n65,V,17,1,1
exp2_n65,V,18,1,-1
exp2_n65,V,19,1,1
exp2_n65,V,20,-1,-1
exp2_n65,V,21,1,1
exp2_n65,V,22,1,1
exp2_n65,V,23,1,1
exp2_n65,V,24,1,-1
exp3,P,0,1,1
exp3,P,1,1,1
exp3,P,2,1,1
exp3,P,3,1,1
exp3,P,4,-1,-1
exp3,P,5,1,1
exp3,P,6,-1,-1
exp3,P,7,-1,-1
exp3,P,8,-1,-1
exp3,P,9,1,1
exp3,P,10,1,1
exp3,P,11,1,1
exp3,P,12,1,1
exp3,P,13,1,1
exp3,P,14,-1,-1
exp3,P,15,1,1
exp3,P,16,-1,-1
exp3,P,17,-1,-1
exp3,P,18,-1,1
exp3,P,19,-1,-1
exp3,P,20,1,1
exp3,P,21,-1,-1
exp3,P,22,-1,-1
exp3,P,23,-1,-1
exp3,P,24,-1,1
exp3,C,0,-1,-1
exp3,C,1,1,1
exp3,C,2,1,1
exp3,C,3,1,1
exp3,C,4,1,1
exp3,C,5,1,1
exp3,C,6,-1,-1
exp3,C,7,-1,-1
exp3,C,8,-1,-1
exp3,C,9,-1,-1
exp3,C,10,1,1
exp3,C,11,-1,-1
exp3,C,12,-1,-1
exp3,C,13,-1,1
exp3,C,14,-1,1
exp3,C,15,1,1
exp3,C,16,-1,-1
exp3,C,17,-1,-1
exp3,C,18,-1,-1
exp3,C,19,-1,1
exp3,C,20,-1,-1
exp3,C,21,1,1
exp3,C,22,1,1
exp3,C,23,1,1
exp3,C,24,1,1
exp3,Z,0,1,1
exp3,Z,1,1,1
exp3,Z,2,1,1
exp3,Z,3,1,1
exp3,Z,4,1,1
exp3,Z,5,-1,-1
exp3,Z,6,-1,-1
exp3,Z,7,-1,1
exp3,Z,8,1,-1
exp3,Z,9,-1,-1
exp3,Z,10,-1,-1
exp3,Z,11,-1,-1
exp3,Z,12,1,1
exp3,Z,13,-1,-1
exp3,Z,14,-1,-1
exp3,Z,15,-1,-1
exp3,Z,16,1,-1
exp3,Z,17,-1,1
exp3,Z,18,-1,-1
exp3,Z,19,-1,-1
exp3,Z,20,1,-1
exp3,Z,21,1,-1
exp3,Z,22,1,1
exp3,Z,23,1,-1
exp3,Z,24,1,-1
exp3,L,0,1,-1
exp3,L,1,-1,1
exp3,L,2,-1,1
exp3,L,3,-1,1
exp3,L,4,-1,1
exp3,L,5,1,1
exp3,L,6,-1,-1
exp3,L,7,-1,-1
exp3,L,8,-1,-1
exp3,L,9,-1,-1
exp3,L,10,1,1
exp3,L,11,-1,-1
exp3,L,12,-1,-1
exp3,L,13,-1,1
exp3,L,14,-1,1
exp3,L,15,1,1
exp3,L,16,-1,-1
exp3,L,17,-1,-1
exp3,L,18,-1,-1
exp3,L,19,-1,1
exp3,L,20,1,-1
exp3,L,21,1,1
exp3,L,22,1,1
exp3,L,23,1,1
exp3,L,24,1,1
exp3,M,0,1,-1
exp3,M,1,-1,-1
exp3,M,2,-1,-1
exp3,M,3,-1,-1
exp3,M,4,1,-1
